user_id,stage_order,stage
b9ff365f1be6,3,Sent 7 or more messages
608f79704cbf,0,Arrived
608f79704cbf,1,Sent a message
608f79704cbf,2,Sent 2 or more messages
608f79704cbf,3,Sent 7 or more messages
b77211058cd3,0,Arrived
b77211058cd3,1,Sent a message
b77211058cd3,2,Sent 2 or more messages
f1b26038f401,0,Arrived
f1b26038f401,1,Sent a message
f92f97820aa4,0,Arrived
f92f97820aa4,1,Sent a message
f92f97820aa4,2,Sent 2 or more messages
b12b524a7968,0,Arrived
b12b524a7968,1,Sent a message
b12b524a7968,2,Sent 2 or more messages
5b84761ac5e2,0,Arrived
5b84761ac5e2,1,Sent a message
5b84761ac5e2,2,Sent 2 or more messages
28c40585786a,0,Arrived
28c40585786a,1,Sent a message
28c40585786a,2,Sent 2 or more messages
25588123ba9f,0,Arrived
25588123ba9f,1,Sent a message
25588123ba9f,2,Sent 2 or more messages
531a6927701a,0,Arrived
531a6927701a,1,Sent a message
531a6927701a,2,Sent 2 or more messages
96a27578e793,0,Arrived
53bf7d07b4fd,0,Arrived
53bf7d07b4fd,1,Sent a message
53bf7d07b4fd,2,Sent 2 or more messages
b61533160f33,0,Arrived
b61533160f33,1,Sent a message
b61533160f33,2,Sent 2 or more messages
73105f496c9d,0,Arrived
73105f496c9d,1,Sent a message
73105f496c9d,2,Sent 2 or more messages
bdf1985b72f0,0,Arrived
bdf1985b72f0,1,Sent a message
bdf1985b72f0,2,Sent 2 or more messages
d9bfd492b47c,0,Arrived
08914801c587,0,Arrived
08914801c587,1,Sent a message
08914801c587,2,Sent 2 or more messages
f87b2b4a3035,0,Arrived
ff8aba8d2fcd,0,Arrived
ff8aba8d2fcd,1,Sent a message
ff8aba8d2fcd,2,Sent 2 or more messages
231d977ef5dd,0,Arrived
231d977ef5dd,1,Sent a message
231d977ef5dd,2,Sent 2 or more messages
1c4da3d603d8,0,Arrived
1c4da3d603d8,1,Sent a message
1c4da3d603d8,2,Sent 2 or more messages
c5e0339cc08d,0,Arrived
72df70d7f7f2,0,Arrived
72df70d7f7f2,1,Sent a message
9b8814417d9b,0,Arrived
9b8814417d9b,1,Sent a message
9b8814417d9b,2,Sent 2 or more messages
937ca5ee6fc9,0,Arrived
11df55ab8edf,0,Arrived
11df55ab8edf,1,Sent a message
11df55ab8edf,2,Sent 2 or more messages
e00f284b4d11,0,Arrived
ea679c40c481,0,Arrived
67b4ab111644,0,Arrived
67b4ab111644,1,Sent a message
f9dabca94541,0,Arrived
f9dabca94541,1,Sent a message
f9dabca94541,2,Sent 2 or more messages
481efc270120,0,Arrived
722cc432eeac,0,Arrived
722cc432eeac,1,Sent a message
722cc432eeac,2,Sent 2 or more messages
0fc6850ce612,0,Arrived
0fc6850ce612,1,Sent a message
0fc6850ce612,2,Sent 2 or more messages
4b71814a9e45,0,Arrived
4b71814a9e45,1,Sent a message
4b71814a9e45,2,Sent 2 or more messages
aecb2e9b7409,0,Arrived
aecb2e9b7409,1,Sent a message
aecb2e9b7409,2,Sent 2 or more messages
ec68f78b1ef2,0,Arrived
ec68f78b1ef2,1,Sent a message
ec68f78b1ef2,2,Sent 2 or more messages
9f690905e4e2,0,Arrived
9f690905e4e2,1,Sent a message
9f690905e4e2,2,Sent 2 or more messages
e26ac75b73cf,0,Arrived
e26ac75b73cf,1,Sent a message
e26ac75b73cf,2,Sent 2 or more messages
5356bf503569,0,Arrived
5356bf503569,1,Sent a message
5356bf503569,2,Sent 2 or more messages
5356bf503569,3,Sent 7 or more messages
2577c2e4cf9f,0,Arrived
2577c2e4cf9f,1,Sent a message
2577c2e4cf9f,2,Sent 2 or more messages
4f83816de195,0,Arrived
4f83816de195,1,Sent a message
4f83816de195,2,Sent 2 or more messages
4f83816de195,3,Sent 7 or more messages
e9351eb195d7,0,Arrived
e9351eb195d7,1,Sent a message
e9351eb195d7,2,Sent 2 or more messages
0c78f2aad5e5,0,Arrived
0c78f2aad5e5,1,Sent a message
0c78f2aad5e5,2,Sent 2 or more messages
565cc8ae2e12,0,Arrived
a0e6df251177,0,Arrived
7cf32354723f,0,Arrived
7cf32354723f,1,Sent a message
1e773803af74,0,Arrived
1e773803af74,1,Sent a message
1e773803af74,2,Sent 2 or more messages
5de099247cf3,0,Arrived
11ec968bc419,0,Arrived
baa48a021da1,0,Arrived
baa48a021da1,1,Sent a message
baa48a021da1,2,Sent 2 or more messages
3e8a49119be2,0,Arrived
3e8a49119be2,1,Sent a message
9fcefbf202de,0,Arrived
9fcefbf202de,1,Sent a message
9fcefbf202de,2,Sent 2 or more messages
611baf67346f,0,Arrived
611baf67346f,1,Sent a message
8db3a161dfe0,0,Arrived
8db3a161dfe0,1,Sent a message
8db3a161dfe0,2,Sent 2 or more messages
65344d4569b3,0,Arrived
65344d4569b3,1,Sent a message
65344d4569b3,2,Sent 2 or more messages
d9a9782ccb46,0,Arrived
d9a9782ccb46,1,Sent a message
d9a9782ccb46,2,Sent 2 or more messages
4376945e63f5,0,Arrived
84f907fe90b6,0,Arrived
84f907fe90b6,1,Sent a message
84f907fe90b6,2,Sent 2 or more messages
6a18d4161c22,0,Arrived
6a18d4161c22,1,Sent a message
6a18d4161c22,2,Sent 2 or more messages
dfb6813d4952,0,Arrived
dfb6813d4952,1,Sent a message
c4257bd16a3d,0,Arrived
c4257bd16a3d,1,Sent a message
c4257bd16a3d,2,Sent 2 or more messages
c4257bd16a3d,3,Sent 7 or more messages
6491eceed718,4,Answered the survey
25f72e684000,4,Answered the survey
90f9b9d9f534,4,Answered the survey
f35294957acf,4,Answered the survey
ebf63a1e9924,4,Answered the survey
41662a74fa3e,4,Answered the survey
0556605b2d5c,4,Answered the survey
21d253a16688,4,Answered the survey
719105037cd3,4,Answered the survey
24e2b3678d0d,4,Answered the survey
0a2869cfe664,4,Answered the survey
cf027211d091,4,Answered the survey
ec0808a120ca,4,Answered the survey
72481892be9f,4,Answered the survey
c5850b168b1b,4,Answered the survey
c70fc546cae1,4,Answered the survey
43f2bfa84b23,4,Answered the survey
d881a73f0891,4,Answered the survey
f11283a6845d,4,Answered the survey
92c04276b972,4,Answered the survey
c4b3d829b70c,4,Answered the survey
4c7490179e9b,4,Answered the survey
5af71ce15ba4,4,Answered the survey
58e3ec0e8efa,4,Answered the survey
bb33b846c2c5,4,Answered the survey
5a525086d92f,4,Answered the survey
06433e895ee5,4,Answered the survey
512018e4b670,4,Answered the survey
0a5b92f117c1,4,Answered the survey
5a37c2627cfe,4,Answered the survey
dd16a0f184e1,4,Answered the survey
1c6098ca81dd,4,Answered the survey
ebd77a80a358,4,Answered the survey
6c3f6488d293,4,Answered the survey
866fdeb1a0de,4,Answered the survey
3b7c53152a59,4,Answered the survey
38ca49bafc59,4,Answered the survey
626dfbcaff20,4,Answered the survey
ca80d27637a1,4,Answered the survey
a8bb402a432a,4,Answered the survey
cc43888d2b0f,4,Answered the survey
1a83a3c7f37a,4,Answered the survey
0af1b20e629c,4,Answered the survey
8e550e7fc89a,4,Answered the survey
dad67fee72e3,4,Answered the survey
c102a05bc7bd,4,Answered the survey
a59fcec78cc4,4,Answered the survey
6b9263923d4f,4,Answered the survey
6c99e1a0bd00,4,Answered the survey
e846935965c0,4,Answered the survey
4544c32a7977,4,Answered the survey
c779e342fd14,4,Answered the survey
481568c9e082,4,Answered the survey
e4bb3d69fa67,4,Answered the survey
eba15300ac71,4,Answered the survey
c87ec7e92f39,4,Answered the survey
4e549487225a,4,Answered the survey
5d68d7d36dbf,4,Answered the survey
42070e3f07d1,4,Answered the survey
a02ba6b93372,4,Answered the survey
4f524af45e30,4,Answered the survey
e0759bd92787,4,Answered the survey
5e4e11b7a1b0,4,Answered the survey
30d8ffd038d6,4,Answered the survey
07a493b2ddeb,4,Answered the survey
566014fe1472,4,Answered the survey
1e01c7d59f5c,4,Answered the survey
fcf527dbf6de,4,Answered the survey
e2c9eb5825cb,4,Answered the survey
c336a1971655,4,Answered the survey
e06423c70b3e,4,Answered the survey
2757dc3ce28d,4,Answered the survey
662f81114f99,4,Answered the survey
2984a7622736,4,Answered the survey
b2635e9a6a7f,4,Answered the survey
75c9dbc84410,4,Answered the survey
a14634aae815,4,Answered the survey
ef3c1dfce67c,4,Answered the survey
6c911cdfc79b,4,Answered the survey
d70599256661,4,Answered the survey
7d7d7dd617bf,4,Answered the survey
533f8aeb1f13,4,Answered the survey
bb994c5bd396,4,Answered the survey
18c313934434,4,Answered the survey
cf8a9ac2cbfb,4,Answered the survey
dfed16440fa7,4,Answered the survey
730e17119e5d,4,Answered the survey
67e2bbaedc66,4,Answered the survey
6a96577d2770,4,Answered the survey
f3266bd148e4,4,Answered the survey
995ce800305d,4,Answered the survey
7d9370b38112,4,Answered the survey
f8df33a0bed7,4,Answered the survey
58003bf0152d,4,Answered the survey
cfa7562d8642,4,Answered the survey
0b98d3009cee,4,Answered the survey
f19c866c9fd5,4,Answered the survey
5db00e51f03d,4,Answered the survey
178c78255064,4,Answered the survey
5e65b3f3ebf6,4,Answered the survey
96cae25a3eb7,4,Answered the survey
8d99fc65f5d8,4,Answered the survey
48e2f5351af7,4,Answered the survey
258089dc336d,4,Answered the survey
221fa9dcfc72,4,Answered the survey
a5dadd4e8d83,4,Answered the survey
3599f0b9b4e9,4,Answered the survey
5f86a3974516,4,Answered the survey
1195052a2705,4,Answered the survey
2f1d63920637,4,Answered the survey
702f81b87973,4,Answered the survey
adc62f73647f,4,Answered the survey
b05d491de4b3,4,Answered the survey
5616952a922d,4,Answered the survey
b259227734f4,4,Answered the survey
