message_id,kind,entity
b395de6064c66893,procedure,Refugio/Asilo
f8a37ffaae71db37,procedure,Salvoconducto
1c09355f71aa7c99,procedure,Refugio/Asilo
a84cce241aef7ec5,procedure,Visa
64a65730d284b709,procedure,Visa
e659418da2b356c0,procedure,Trabajo/Empleo
6d65fdd8469705c4,procedure,Trabajo/Empleo
10f547a9522f3ebc,procedure,Regularización
1463bf5a92fe9397,procedure,Regularización
ed95bb2d8a95eb6b,procedure,PEP
7a0e9de62ebe9fd1,procedure,Salud/EPS
9e32fcc8dbbbf7d8,procedure,PPT
557e6c991f42ef73,procedure,PPT
1990257fc7782b78,institution,Migración Colombia
116b9a34eee71bbf,procedure,Ayuda humanitaria
40f1d5b79fa809bc,procedure,Salud/EPS
54db96b7c3ed207a,procedure,Visa
a6dd86f56f37dbab,procedure,Visa
8fb1b2c2775c06fb,procedure,Visa
8fb1b2c2775c06fb,procedure,Pasaporte
bcf31ba434d9df23,procedure,Salud/EPS
171ea91282c76581,procedure,Salud/EPS
af31835a93750e72,procedure,Regularización
72e944fade9a2300,institution,Migración Colombia
791451a12431c7af,procedure,PPT
570eb199df40f841,procedure,Cédula
570eb199df40f841,procedure,Pasaporte
63969c3828caf07a,procedure,PPT
dad3a7c89c13c56c,procedure,Emprendimiento
edd008dcb9d743fd,procedure,Trabajo/Empleo
eeccfbc198a9b2cf,procedure,Emprendimiento
