user_id,x,y,cluster_id
5fe4874309e2,6.549849,9.189192,0
6009b77e7f5b,5.7225347,9.177876,0
600c9c7af56c,11.59049,10.068938,1
6046a01863f9,6.4932,8.643877,0
605cd2a13361,10.313951,11.7247,3
6091610a4330,9.5912895,12.3691,3
626dfbcaff20,11.331321,9.6551695,1
628e143864d2,5.8997245,8.493444,0
63ba58c33223,9.878406,10.049386,3
6439f990b011,6.243623,10.385665,0
65d262ea31f5,10.090108,11.950527,3
6650942ea6ea,7.246084,10.531416,0
666e7971b1a5,9.5422535,8.402419,2
667ce8497a5f,4.825682,7.825387,2
6695107cea34,5.1141553,7.605545,2
66c4ad0769aa,6.7942595,8.01707,0
67137155144d,7.70213,11.102394,0
6729a0cd9307,9.517396,9.550469,3
67bc1b1311b4,5.4693666,9.313857,0
67e2bbaedc66,7.0577555,9.945086,0
680eb65432dc,6.3938704,9.628201,0
6863d38c2d07,8.622622,10.7272005,3
6881c4372f8a,5.963106,9.690009,0
68fd964afd09,7.944557,10.11575,0
691f9dbcafab,6.3055997,8.946261,0
6921ec0847ed,10.068817,8.426302,3
6935b7fc6aef,9.466376,12.552632,3
695a2528e0f0,6.794108,6.5443745,2
69fe1235d290,6.237327,9.317089,0
6a4edfd40e68,6.2361264,8.214763,0
6a69fced0269,9.7744665,7.9266872,3
6a96577d2770,7.999446,10.748305,0
6b65c7c3b3ef,6.5705347,9.829032,0
6b9263923d4f,9.860723,11.678962,3
6c3f6488d293,9.718013,9.988143,3
6c99e1a0bd00,7.308086,10.784488,0
6c9cb7899305,8.910438,11.648617,0
6cbe5937faf9,9.525622,11.589806,3
6cf9e8114e66,9.990539,8.971179,2
6d2bcdd6f526,6.1225657,10.44951,0
6d7f82ed82f8,6.8779564,6.5256896,2
6e228243d03f,9.337503,9.960006,3
6e8817a099fc,10.120312,10.674849,3
7037462b3440,7.3413653,9.105273,0
70c15978d565,7.8899484,11.285844,0
70e576a65f54,10.233487,11.149062,1
70f88c68bbf5,9.321396,7.6024857,3
712a05510899,10.728815,10.598151,1
719105037cd3,6.9638186,10.971168,0
71937764deb6,10.607435,11.379274,3
7205b06dde9e,6.014348,6.8282967,2
7217147bd0ff,10.194673,11.178265,3
72481892be9f,5.703705,10.2581625,2
7298a75fed0e,8.228553,9.067099,0
730e17119e5d,7.062564,7.600804,2
753a1bd5c882,7.3335495,7.7916846,0
7561a5acc372,10.117308,8.880713,3
75c9dbc84410,5.902617,8.77797,0
76087f2004aa,10.744275,11.370427,3
762d794c4fbc,7.9678893,9.208019,0
7646c844148c,9.9225235,8.440887,3
76a41fe32942,7.903621,7.9384165,2
76c65e1b6c3a,11.939787,9.880795,1
771f85a17fcb,5.790837,10.343608,0
77aaa1392818,7.206358,7.574344,2
7809d4fe159d,10.243839,10.979092,3
782bc1dc9626,8.895626,9.719677,3
78b3dbf30200,7.962423,11.351202,3
7941b981e189,12.377132,9.6276455,1
7952b8c1a3a5,11.653128,10.000823,1
7a1cfeff21d5,9.398726,10.801198,3
7a6ddaad47bb,12.337521,9.690841,1
7a7dab29bc17,5.86029,10.225072,0
7b41c71f72b3,6.124166,10.556247,0
7b6725641439,9.816252,11.62564,3
7bd19fcf3cfa,4.8260517,8.487895,0
7ca5b1d9e37f,5.3668003,8.674649,0
7cbabccbbd74,9.526641,12.622251,3
7cd7675ea731,11.988997,10.101827,1
7cd81c1cedbc,10.495288,10.774038,3
7ce830d64919,5.7613854,9.500643,2
7d42365ec542,11.0642605,10.497195,1
7d7d7dd617bf,10.498408,9.844899,1
7d9e9ebb75e8,9.475863,11.622757,3
7db0f19f99c4,5.6967688,7.6269264,2
7decc9eebcb2,4.727968,7.54882,2
7e6d7186811b,10.56105,10.628373,3
7eb0525767e1,7.7162075,10.33743,3
7f5783a9735d,6.392121,6.8809934,2
7f5a40c9c463,9.12032,12.111853,3
7f6183ceb4db,5.9015956,9.179937,0
7f7d72c5ec10,9.447691,7.9107203,3
7ff12400b9f6,7.2650933,10.022701,0
80099afc12f8,9.603577,9.418284,3
80448aa9421f,8.909091,12.349591,3
809306d0866c,5.047122,7.411692,2
817b33c4e195,5.9203467,10.1078415,0
822956e2ebde,10.378851,9.653879,1
82bbe02beb1c,5.009714,7.412614,0
839f912ebc05,10.250273,9.840484,0
8515b9337673,7.5307384,7.387307,2
851cf3b82b01,10.045318,11.21674,3
86589ef84d58,5.221255,8.566532,2
866fdeb1a0de,7.8998938,10.411304,3
868583471b48,10.446782,10.936204,3
874ab9c8c13c,5.313241,8.012412,2
875ddd21c83a,5.4756007,8.529436,0
877f45c963ca,10.122427,9.871619,1
87f5ad4d1e03,8.11074,8.889007,0
883becdeb2ac,8.741483,8.486246,3
88798bf22b1d,10.941033,10.740301,1
88d62e8e059f,5.4130707,9.11263,0
88e3815baa87,6.1514473,9.266388,0
89738eae7ba7,9.6786585,10.183248,3
898bdb72ffa7,7.077934,10.601604,0
8a74e17e6243,7.344509,7.651136,2
8adfd0f355e9,4.880027,8.03473,2
8b1e864a8753,9.509199,12.386688,3
8b5e8d22c93a,7.7508774,11.220308,0
8c55a7380118,9.9619665,11.347128,3
8cadaabfc46b,6.31728,9.394997,0
8cbaa78b7f53,10.701637,11.294668,3
8cc3e6296d4b,6.868703,8.14509,0
8d209885c75b,5.3643727,8.408017,0
8e550e7fc89a,10.946967,10.3821745,1
8e58449c3754,7.5345044,7.584057,2
8e5b3257d1da,7.476324,9.387939,0
8f17e48d5f7e,10.775266,10.408514,3
8f22a38fba39,6.5730834,9.3973465,0
8f8014dd3ca2,7.07823,9.27513,0
902fa97f667e,8.357565,10.398201,0
9073c17379d1,8.943033,9.936353,3
90a9c5ed7580,11.919479,9.794138,1
90b569f486eb,5.81248,10.604454,2
90eb8eb3336a,8.507224,9.974458,0
