user_id,instrument_version,gender_clean,age_num,age_flag,city_canon,department,nationality_canon,away_duration_canon,away_duration_order,city_duration_canon,city_duration_order,n_questions,minors,destination_country,language,registration_status,attempts,is_returning,safety_alert,escalation_status,age_range,age_range_order,session_minutes,n_msgs_user,has_text,first_seen,registered_at,is_repeat_asker,intends_to_stay,cluster_id,subcluster_id,subcluster_name
07a493b2ddeb,v1,Woman,35.0,ok,Bogotá,Bogotá,Venezuela,1–5 years,3.0,1+ year,4.0,11.0,No,Venezuela,Spanish,Completed,,,,,35-44,3,,12,True,2026-07-01 17:49:41.662,2026-07-01 17:49:41.662,True,False,4,40,Health access and registration
07dc6748f76d,v1,Woman,28.0,ok,Cúcuta,Norte de Santander,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,0,False,,2026-05-06 16:54:53.180,False,True,-1,-10,No conversation text
07fdee5981cb,v1,Man,60.0,ok,Bogotá,Bogotá,Venezuela,1–3 months,1.0,1–3 months,1.0,1.0,Yes,Colombia,Spanish,Completed,,,,,55+,5,,2,True,2026-04-09 19:52:24.031,2026-04-09 19:52:24.031,False,True,4,41,Food and shelter from organisations
0809661b0bc4,v1,Woman,40.0,ok,Santa Marta,Magdalena,Venezuela,5+ years,4.0,1+ year,4.0,1.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,2,True,2026-04-23 03:15:28.431,2026-04-23 03:15:28.431,False,True,5,50,Services and integration
086e0bde9d76,v1,Man,28.0,ok,Barranquilla,Atlántico,Ecuador,3–12 months,2.0,1–3 months,1.0,1.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,1,True,2026-06-17 16:25:24.321,2026-06-17 16:25:24.321,False,True,0,1,Looking for work and training
08db054d54ab,v1,Woman,38.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,3,True,2026-07-12 19:18:58.910,2026-07-12 19:18:58.910,False,True,1,10,Biometrics and minors' documents
0956cfe71306,v1,Man,37.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,2.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,3,True,2026-07-15 12:34:45.281,2026-07-15 12:34:45.281,False,True,3,31,Expiring permits and renewals
0982baceacfa,v2,Woman,53.0,ok,Cúcuta,Norte de Santander,Venezuela,Did not respond,-1.0,1+ year,4.0,,Yes,,Spanish,Completed,1.0,,,,45-54,4,321.71684999999997,8,True,2026-07-27 15:52:05.245,2026-07-27 15:52:05.245,False,True,2,20,Family nationality options
09c021949aab,v1,Woman,35.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,,Spanish,Completed,,,,,35-44,3,,0,False,,2026-07-13 16:44:21.689,False,True,-1,-10,No conversation text
09c51cd233c6,v1,Woman,32.0,ok,Other,,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-06-22 16:48:44.235,2026-06-22 16:48:44.235,False,True,0,0,Starting a business
0a09225c81bb,v1,Woman,28.0,ok,Other,,Venezuela,5+ years,4.0,< 1 month,0.0,1.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,3,True,2026-07-15 15:26:54.106,2026-07-15 15:26:54.106,False,True,4,41,Food and shelter from organisations
0a19abe64c8f,v1,Woman,27.0,ok,Ipiales,Nariño,Venezuela,< 1 month,0.0,< 1 month,0.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,0,False,,2026-04-24 16:03:11.391,False,True,-1,-10,No conversation text
0a225e949939,v2,Woman,33.0,ok,Bogotá,Bogotá,Venezuela,Did not respond,-1.0,1+ year,4.0,,Yes,,Spanish,Completed,1.0,,,,25-34,2,1.24625,1,True,2026-07-27 15:55:19.182,2026-07-27 15:55:19.182,False,True,1,10,Biometrics and minors' documents
0a272952bdec,v1,Woman,44.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,2,True,2026-07-08 22:42:09.374,2026-07-08 22:42:09.374,False,True,4,40,Health access and registration
0a2869cfe664,v1,Woman,29.0,ok,Cúcuta,Norte de Santander,Venezuela,1–3 months,1.0,4–6 months,2.0,1.0,No,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-04-16 19:39:30.152,2026-04-16 19:39:30.152,False,True,3,31,Expiring permits and renewals
0a5b92f117c1,v1,Woman,41.0,ok,Bogotá,Bogotá,Venezuela,3–12 months,2.0,Did not respond,-1.0,2.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,4,True,2026-05-13 19:07:28.793,2026-05-13 19:07:28.793,False,True,4,40,Health access and registration
0a9de4272ae0,v1,Woman,25.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,7.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,12,True,2026-05-28 12:30:52.094,2026-05-28 12:30:52.094,True,True,4,40,Health access and registration
0acb321354fe,v1,Man,30.0,ok,Cúcuta,Norte de Santander,Venezuela,5+ years,4.0,4–6 months,2.0,0.0,No,Colombia,Spanish,Completed,,,,,25-34,2,,2,True,2026-05-05 12:47:45.338,2026-05-05 12:47:45.338,False,True,1,10,Biometrics and minors' documents
