week,cluster_id,user_id,n
2026-05-25,4,40f4d7ee7e94,5
2026-05-25,4,47898d03e9ec,4
2026-05-25,4,4e549487225a,2
2026-05-25,4,4ebb7f683407,1
2026-05-25,4,566065ba27e3,1
2026-05-25,4,5b35eba5a9c4,8
2026-05-25,4,5f587b32486e,2
2026-05-25,4,6439f990b011,6
2026-05-25,4,68fd964afd09,6
2026-05-25,4,6a96577d2770,4
2026-05-25,4,7037462b3440,10
2026-05-25,4,817b33c4e195,1
2026-05-25,4,8d209885c75b,10
2026-05-25,4,90eb8eb3336a,5
2026-05-25,4,bef4069fd2da,5
2026-05-25,4,d17355b0878f,6
2026-05-25,4,dfed16440fa7,11
2026-05-25,4,e06423c70b3e,7
2026-05-25,4,e0759bd92787,3
2026-05-25,4,e54fd550f83a,4
2026-05-25,4,e63ad6b19e6a,6
2026-05-25,4,e82096d4e3bc,4
2026-05-25,4,edec792c9b50,1
2026-05-25,4,eecee4198c0f,5
2026-05-25,4,ef6587cba0cf,2
2026-05-25,4,f09b18a53d8c,7
2026-05-25,4,f696796581e3,1
2026-05-25,4,f69be2a55113,6
2026-05-25,4,fb7dfffdbe45,4
2026-05-25,5,139c5bffa62f,1
2026-05-25,5,24abe8cb3a7d,2
2026-05-25,5,2bcaf3d1f7f2,1
2026-05-25,5,96bf8e4f69fa,1
2026-05-25,5,99d748af0cc0,1
2026-05-25,5,a6249c3b6b96,3
2026-05-25,5,a9082d58a6cb,1
2026-05-25,5,b2e0b64be27c,1
2026-05-25,5,e6181d811dab,2
2026-05-25,5,ef3574401e61,2
2026-05-25,5,fbacd5d9fac6,1
2026-06-01,0,1d6d8f86b6ae,1
2026-06-01,0,56a94c18bdd6,3
2026-06-01,0,667ce8497a5f,2
2026-06-01,0,e322ca23cf78,1
2026-06-01,1,38be3f3419e5,3
2026-06-01,1,3db4f09bf26e,2
2026-06-01,1,4d5aec64e21d,3
2026-06-01,1,9345677b0964,6
2026-06-01,1,e5cd8f93170c,2
2026-06-01,1,fd1c4099fa6b,2
2026-06-01,2,0c775d73f6b8,2
2026-06-01,2,133cfb98c56c,4
2026-06-01,2,1d77aaf2280a,6
2026-06-01,2,26749af13e1e,2
2026-06-01,2,535a43ed5f6c,3
2026-06-01,2,5cef985e56f4,8
2026-06-01,2,65d262ea31f5,1
2026-06-01,2,7561a5acc372,5
2026-06-01,2,7f5a40c9c463,3
2026-06-01,2,80099afc12f8,2
2026-06-01,2,868583471b48,3
2026-06-01,2,89738eae7ba7,4
2026-06-01,2,94b7a86b0c3f,8
2026-06-01,2,a3230ca2cb01,2
2026-06-01,2,a88b0cc13301,4
2026-06-01,2,b2a81bc4bdcf,3
2026-06-01,2,ca80d27637a1,4
2026-06-01,2,efbbf80fd44b,1
2026-06-01,3,21fc9e9b5d1c,4
2026-06-01,3,2554be1b599e,2
2026-06-01,3,666e7971b1a5,1
2026-06-01,3,7f7d72c5ec10,5
2026-06-01,3,866fdeb1a0de,1
2026-06-01,3,91eb0e40a414,2
2026-06-01,3,c87ec7e92f39,8
2026-06-01,3,c9ebcba1ba34,1
2026-06-01,3,cc1f59f41f51,5
2026-06-01,3,dc24421b28d3,4
2026-06-01,3,fa61f37c486f,3
2026-06-01,4,0b98d3009cee,11
2026-06-01,4,12a4d7d0b517,12
2026-06-01,4,2f99c95f0057,21
2026-06-01,4,324389fa1463,4
2026-06-01,4,55a546c0886d,6
2026-06-01,4,67e2bbaedc66,1
2026-06-01,4,6d2bcdd6f526,3
2026-06-01,4,7ce830d64919,1
2026-06-01,4,a47a460d4806,3
2026-06-01,4,a8bb402a432a,22
2026-06-01,4,afe7c6a18d07,4
2026-06-01,4,cb4ac043c9a2,1
2026-06-01,4,d502ce7c5ddb,2
2026-06-01,4,f515ff1cdba3,2
2026-06-01,5,1245b4e27da3,2
2026-06-01,5,14930e78ce9a,2
2026-06-01,5,519c42d73b02,1
2026-06-01,5,695a2528e0f0,1
2026-06-01,5,b307cd1e0085,1
2026-06-01,5,c873b5d50419,3
2026-06-08,0,00e2a21037ac,1
2026-06-08,0,253457f30450,1
2026-06-08,0,25e0bb818fe7,1
2026-06-08,0,2d0b3adde136,1
2026-06-08,0,3169e6a20c8b,3
2026-06-08,0,3d7cb134f996,1
2026-06-08,0,3e6779b22da8,2
2026-06-08,0,49fa6cf2fedc,1
2026-06-08,0,538295dd1cc1,3
2026-06-08,0,7decc9eebcb2,2
2026-06-08,0,82bbe02beb1c,2
2026-06-08,0,86589ef84d58,2
2026-06-08,0,bea69498fbd0,4
2026-06-08,0,c0c65ce10f8a,1
2026-06-08,0,c802a23c8e42,6
2026-06-08,0,d1708ab4ac5b,4
2026-06-08,0,d1939489a003,2
2026-06-08,0,d1c4e8d8c4d7,5
2026-06-08,0,db64856f9ace,1
2026-06-08,0,e8cd996ab9b0,2
2026-06-08,0,e9a672df4997,3
2026-06-08,0,ebb0abd50de4,2
2026-06-08,0,f2540154103f,1
2026-06-08,0,f77d7d730827,3
2026-06-08,1,01b6e41756d9,6
2026-06-08,1,2fdebb60b258,10
2026-06-08,1,573966264c78,4
2026-06-08,1,5952f7857809,3
2026-06-08,1,5bfad0d03abe,2
2026-06-08,1,600c9c7af56c,3
2026-06-08,1,8e550e7fc89a,5
2026-06-08,1,90a9c5ed7580,1
2026-06-08,1,91f1d0aea4de,2
2026-06-08,1,97727500e60a,5
2026-06-08,1,9b0075cc6b91,2
2026-06-08,1,a99da951150b,2
2026-06-08,1,aa4c1039726b,3
2026-06-08,1,b9f74543e0a3,2
2026-06-08,1,d40966e0b7a4,1
2026-06-08,1,e23546b81515,2
2026-06-08,1,e25d61d034aa,6
2026-06-08,1,ed5f7c488f83,2
2026-06-08,1,f3a1ba2f693b,1
2026-06-08,2,0367a28c51cd,2
2026-06-08,2,07328a0c07a6,1
2026-06-08,2,171ae6ceacf2,5
2026-06-08,2,2d411cc2c22a,2
2026-06-08,2,329758511943,8
2026-06-08,2,342f5cb9f227,2
2026-06-08,2,355e39b91f6d,1
2026-06-08,2,36574b853fbc,3
2026-06-08,2,431801bc2248,1
2026-06-08,2,45126221f02e,2
2026-06-08,2,76087f2004aa,1
2026-06-08,2,78b3dbf30200,3
2026-06-08,2,7cd81c1cedbc,4
2026-06-08,2,8cbaa78b7f53,2
2026-06-08,2,9a84005c901c,4
2026-06-08,2,a9cd5c5c51c2,1
2026-06-08,2,aca214bbd428,2
2026-06-08,2,b3c878da29b3,16
2026-06-08,2,ca80d27637a1,2
2026-06-08,2,ce9e71da80de,2
2026-06-08,2,df97388b8b59,2
2026-06-08,2,f8a90db52737,7
2026-06-08,2,ff9e11e9bb69,3
2026-06-08,3,0bd6a1517cd4,1
2026-06-08,3,1b9a5105a9db,3
2026-06-08,3,1bf1b0378d93,1
2026-06-08,3,2191b93bf7b5,1
2026-06-08,3,22b948dd4918,2
2026-06-08,3,2483f48531ff,1
2026-06-08,3,2e9e4eccd47e,1
2026-06-08,3,48499511f77b,3
2026-06-08,3,a09ce3b9b833,1
2026-06-08,3,a4a8889cb093,1
2026-06-08,3,af3bc59a1828,4
2026-06-08,3,c7ac43e9ee49,1
2026-06-08,3,dcc5db21a0ed,1
2026-06-08,4,01c9824c67eb,1
2026-06-08,4,0af1b20e629c,8
2026-06-08,4,1a83a3c7f37a,4
2026-06-08,4,237cf28f02a2,3
2026-06-08,4,3619dce82ba5,2
2026-06-08,4,4f8c281ecd81,2
2026-06-08,4,6a96577d2770,14
2026-06-08,4,7bd19fcf3cfa,8
2026-06-08,4,8b5e8d22c93a,6
2026-06-08,4,902fa97f667e,4
2026-06-08,4,920726b4a7d0,4
2026-06-08,4,a5d221da4a61,2
2026-06-08,4,a6569a9c9d2e,2
2026-06-08,4,ac776a91e1b9,2
2026-06-08,4,acb3b8186493,3
2026-06-08,4,b6711f708f82,4
2026-06-08,4,bdc7e2e1dce1,2
2026-06-08,4,c5ab76d9c28f,2
2026-06-08,4,c821037c2495,1
2026-06-08,4,d3864482b1cc,2
2026-06-08,4,d8b710015e75,1
2026-06-08,4,dad67fee72e3,3
2026-06-08,4,e7e6471d8d08,2
2026-06-08,4,f196f2a726ed,3
2026-06-08,4,f480b4f24ed8,9
2026-06-08,4,f9d6c94199a5,5
2026-06-08,4,ff4170cf835e,2
2026-06-08,4,ffd4f038679e,3
2026-06-08,5,17ae63bbba2a,1
2026-06-08,5,224b0c65cba8,1
2026-06-08,5,41b6ee9f59df,1
2026-06-08,5,57bcca8ebb97,1
2026-06-08,5,aa3c30618eac,1
2026-06-08,5,be1030057619,1
2026-06-08,5,cb75e0242283,1
2026-06-15,0,086e0bde9d76,1
2026-06-15,0,0e39f120f47d,3
2026-06-15,0,130232130f4e,1
2026-06-15,0,15dc0f6bbd54,1
2026-06-15,0,3c69a8dc1d56,2
2026-06-15,0,a362578e8741,6
2026-06-15,0,b25d4c10e8d8,1
2026-06-15,1,285ad64669e0,2
2026-06-15,1,3aa53a743056,1
2026-06-15,1,4d9fdd15a627,3
2026-06-15,1,56d210ca8ced,4
2026-06-15,1,5a7498cf5cbc,1
2026-06-15,1,5a96e7702cb0,2
2026-06-15,1,712a05510899,4
2026-06-15,1,a1a62d5f08bb,4
2026-06-15,1,c51d4492a83b,2
2026-06-15,1,e4bb3d69fa67,5
2026-06-15,1,e8d16804b787,2
2026-06-15,1,eba15300ac71,5
2026-06-15,2,4af69dad3bf1,3
2026-06-15,2,5120edad4c99,1
2026-06-15,2,8f17e48d5f7e,4
2026-06-15,2,9e4727f44f04,3
2026-06-15,2,b8f629c969bb,6
2026-06-15,2,d0bceaecaaae,3
2026-06-15,2,d886bb9194e9,4
2026-06-15,2,e253e90e463e,2
2026-06-15,2,ede539a89ef4,2
2026-06-15,3,cfc17091b6cf,4
2026-06-15,3,f19346cfa019,3
2026-06-15,3,f4686af3b986,3
2026-06-15,4,17c99caae844,4
2026-06-15,4,23e088703289,1
2026-06-15,4,487f19ff25af,2
2026-06-15,4,5d68d7d36dbf,5
2026-06-15,4,5f53f39e9f4e,3
2026-06-15,4,628e143864d2,2
2026-06-15,4,66c4ad0769aa,4
2026-06-15,4,6a4edfd40e68,3
2026-06-15,4,762d794c4fbc,1
2026-06-15,4,93b56b2abdba,2
2026-06-15,4,a8fd097f45d7,3
2026-06-15,4,d665167a9732,3
2026-06-15,4,d81df2cad7fc,2
2026-06-15,4,dad67fee72e3,1
2026-06-15,4,daef5948e6af,5
2026-06-15,5,036275add5eb,1
2026-06-15,5,0be817c3db2e,1
2026-06-15,5,3e50d7b566a3,3
2026-06-15,5,481568c9e082,2
2026-06-15,5,bf22bd88e84f,1
2026-06-15,5,cd237f294dba,1
2026-06-15,5,e7f80bee45fd,1
2026-06-15,5,f14f1e38bd33,1
2026-06-22,0,09c51cd233c6,2
2026-06-22,0,969fcebd33ec,1
2026-06-22,0,9c7d2b9f7321,1
2026-06-22,0,a57647c83ab8,1
2026-06-22,1,19fb6b4a45c3,1
2026-06-22,1,2b4f1562fa44,3
2026-06-22,1,4544c32a7977,1
2026-06-22,1,469b37d5ff1e,4
2026-06-22,1,4a686437f274,1
