user_id,instrument_version,stage_order,stage
309d5f4bdad6,v1,1,registration completed
1fa40aefa1ca,v1,0,registration started
1fa40aefa1ca,v1,1,registration completed
d90b2bb09217,v1,0,registration started
d90b2bb09217,v1,1,registration completed
eb4807a8774d,v1,0,registration started
eb4807a8774d,v1,1,registration completed
9073c17379d1,v1,0,registration started
9073c17379d1,v1,1,registration completed
613314d063bd,v1,0,registration started
613314d063bd,v1,1,registration completed
5f8aae4275b4,v1,0,registration started
5f8aae4275b4,v1,1,registration completed
b141a6d1398e,v1,0,registration started
b141a6d1398e,v1,1,registration completed
342ad1d06b28,v1,0,registration started
342ad1d06b28,v1,1,registration completed
864848d53820,v1,0,registration started
864848d53820,v1,1,registration completed
4c7490179e9b,v1,0,registration started
4c7490179e9b,v1,1,registration completed
1a83a3c7f37a,v1,0,registration started
1a83a3c7f37a,v1,1,registration completed
8cc3e6296d4b,v1,0,registration started
8cc3e6296d4b,v1,1,registration completed
a3974ac773a5,v1,0,registration started
a3974ac773a5,v1,1,registration completed
dbe581eaf411,v1,0,registration started
dbe581eaf411,v1,1,registration completed
176ac8a2f9fb,v1,0,registration started
176ac8a2f9fb,v1,1,registration completed
f6ffa029142b,v1,0,registration started
f6ffa029142b,v1,1,registration completed
25c717fcfcf0,v1,0,registration started
25c717fcfcf0,v1,1,registration completed
befd38dd27f0,v1,0,registration started
befd38dd27f0,v1,1,registration completed
db6e189427d5,v1,0,registration started
db6e189427d5,v1,1,registration completed
abc4a73d789d,v1,0,registration started
abc4a73d789d,v1,1,registration completed
bae2bd10c40f,v1,0,registration started
bae2bd10c40f,v1,1,registration completed
874ab9c8c13c,v1,0,registration started
874ab9c8c13c,v1,1,registration completed
4eed8489d04f,v1,0,registration started
4eed8489d04f,v1,1,registration completed
ed4f4f6f3045,v1,0,registration started
ed4f4f6f3045,v1,1,registration completed
01a55f6e2bfc,v1,0,registration started
01a55f6e2bfc,v1,1,registration completed
4d1089abd65a,v1,0,registration started
4d1089abd65a,v1,1,registration completed
58e3ec0e8efa,v1,0,registration started
58e3ec0e8efa,v1,1,registration completed
548d34245649,v1,0,registration started
548d34245649,v1,1,registration completed
aafc94db1e25,v1,0,registration started
aafc94db1e25,v1,1,registration completed
061eed24d599,v1,0,registration started
061eed24d599,v1,1,registration completed
267d167f5c8d,v1,0,registration started
267d167f5c8d,v1,1,registration completed
13a0b790d57c,v1,0,registration started
13a0b790d57c,v1,1,registration completed
3b182d800abd,v1,0,registration started
3b182d800abd,v1,1,registration completed
7e6d7186811b,v1,0,registration started
7e6d7186811b,v1,1,registration completed
7d102248f6ed,v1,0,registration started
7d102248f6ed,v1,1,registration completed
0216c17c32b9,v1,0,registration started
0216c17c32b9,v1,1,registration completed
70c15978d565,v1,0,registration started
70c15978d565,v1,1,registration completed
e1d352c8b6dc,v1,0,registration started
e1d352c8b6dc,v1,1,registration completed
d881a73f0891,v1,0,registration started
d881a73f0891,v1,1,registration completed
434494785677,v1,0,registration started
434494785677,v1,1,registration completed
7a1cfeff21d5,v1,0,registration started
7a1cfeff21d5,v1,1,registration completed
4799299fa12d,v1,0,registration started
4799299fa12d,v1,1,registration completed
07dc6748f76d,v1,0,registration started
07dc6748f76d,v1,1,registration completed
87f5ad4d1e03,v1,0,registration started
87f5ad4d1e03,v1,1,registration completed
5044f351c01f,v1,0,registration started
5044f351c01f,v1,1,registration completed
3935544d11dc,v1,0,registration started
3935544d11dc,v1,1,registration completed
88e3815baa87,v1,0,registration started
88e3815baa87,v1,1,registration completed
2eebe3247bca,v1,0,registration started
2eebe3247bca,v1,1,registration completed
622409064ef4,v1,0,registration started
622409064ef4,v1,1,registration completed
f98279ef0fbb,v1,0,registration started
f98279ef0fbb,v1,1,registration completed
565848d424b6,v1,0,registration started
565848d424b6,v1,1,registration completed
d395c2b6bb31,v1,0,registration started
d395c2b6bb31,v1,1,registration completed
f11283a6845d,v1,0,registration started
f11283a6845d,v1,1,registration completed
c4b3d829b70c,v1,0,registration started
c4b3d829b70c,v1,1,registration completed
0d1a2ab1cda3,v1,0,registration started
0d1a2ab1cda3,v1,1,registration completed
1c6098ca81dd,v1,0,registration started
1c6098ca81dd,v1,1,registration completed
9d06a9320c10,v1,0,registration started
9d06a9320c10,v1,1,registration completed
0c2e8dcba2eb,v1,0,registration started
0c2e8dcba2eb,v1,1,registration completed
7f6183ceb4db,v1,0,registration started
7f6183ceb4db,v1,1,registration completed
6009b77e7f5b,v1,0,registration started
6009b77e7f5b,v1,1,registration completed
486f594ec494,v1,0,registration started
486f594ec494,v1,1,registration completed
6c9cb7899305,v1,0,registration started
6c9cb7899305,v1,1,registration completed
33d15dadcc97,v1,0,registration started
33d15dadcc97,v1,1,registration completed
f483ae131fa8,v1,0,registration started
f483ae131fa8,v1,1,registration completed
e900ff1f2554,v1,0,registration started
e900ff1f2554,v1,1,registration completed
f4ea24417e86,v1,0,registration started
f4ea24417e86,v1,1,registration completed
ecc635d4b0e2,v1,0,registration started
ecc635d4b0e2,v1,1,registration completed
3fc23677ed59,v1,0,registration started
3fc23677ed59,v1,1,registration completed
9f55b7f98d0c,v1,0,registration started
9f55b7f98d0c,v1,1,registration completed
38ca49bafc59,v1,0,registration started
38ca49bafc59,v1,1,registration completed
f655c3640a9c,v1,0,registration started
f655c3640a9c,v1,1,registration completed
91098e83c5d9,v1,0,registration started
91098e83c5d9,v1,1,registration completed
3d3b0981d2f7,v1,0,registration started
3d3b0981d2f7,v1,1,registration completed
5f3b1a98a0c9,v1,0,registration started
5f3b1a98a0c9,v1,1,registration completed
9802841c02ed,v1,0,registration started
9802841c02ed,v1,1,registration completed
566014fe1472,v1,0,registration started
566014fe1472,v1,1,registration completed
8cadaabfc46b,v1,0,registration started
8cadaabfc46b,v1,1,registration completed
d2b935343ccf,v1,0,registration started
d2b935343ccf,v1,1,registration completed
c57891ad82ed,v1,0,registration started
c57891ad82ed,v1,1,registration completed
7eb0525767e1,v1,0,registration started
7eb0525767e1,v1,1,registration completed
f8915ce811fa,v1,0,registration started
f8915ce811fa,v1,1,registration completed
924d9c35fc08,v1,0,registration started
924d9c35fc08,v1,1,registration completed
29d93a2f169e,v1,0,registration started
29d93a2f169e,v1,1,registration completed
157aec2253fd,v1,0,registration started
157aec2253fd,v1,1,registration completed
b214fc588e5a,v1,0,registration started
b214fc588e5a,v1,1,registration completed
de1ded63645a,v1,0,registration started
de1ded63645a,v1,1,registration completed
c37c0528b4bd,v1,0,registration started
c37c0528b4bd,v1,1,registration completed
67bc1b1311b4,v1,0,registration started
67bc1b1311b4,v1,1,registration completed
839f912ebc05,v1,0,registration started
839f912ebc05,v1,1,registration completed
6729a0cd9307,v1,0,registration started
6729a0cd9307,v1,1,registration completed
c24b23e10ab0,v1,0,registration started
c24b23e10ab0,v1,1,registration completed
de4012f900cf,v1,0,registration started
de4012f900cf,v1,1,registration completed
